lon,lat
-103.9840964,31.6307047
-110.826,44.7893333
-155.377838134766,19.2325000762939
-104.1024701,31.60739679
-152.4521,60.4076
-69.3349,-19.0377
-166.0548,53.0427
-146.3823,61.5914
-152.6028,60.0157
-149.0243,62.816
-122.2033333,37.3316667
-155.375166666667,19.2376666666667
-156.5802,60.9127
-118.8365,37.46
-104.4200498,31.68701971
-104.4384134,31.66460576
-150.3106,61.765
-155.372333333333,19.1695
-122.8773346,38.8321648
-152.7225,59.5185
-148.4572,65.9857
-116.8483333,33.328
-155.388833333333,19.2428333333333
-147.9454,60.3941
-42.0252,30.0239
-118.8421667,37.4773333
-152.5057,60.136
-118.8573333,37.4866667
-122.7791667,38.8051667
-152.0698,60.1159
-155.503997802734,19.1793327331543
-151.4406,61.1967
-159.9227,55.5129
-168.0013,65.2968
126.9775,2.7425
178.6275,51.6293
-154.2942,58.964
-178.158,51.327
-150.174,60.0181
-67.2675,19.1083
-67.1936,19.0052
-67.2098333333333,19.1498333333333
-67.217,19.139
-176.891,-24.7508
-166.7297,53.7124
-67.2251666666667,19.0191666666667
-152.9595,59.701
-151.9728,61.4929
-104.5285,37.2361
-140.753,61.5252
-177.722,51.8253
-152.018,60.8893
178.4763,52.0084
-151.1609,61.1256
-119.8179,40.2014
-145.2439,63.3085
-116.7558333,33.291
-152.5509,59.6096
-90.8689,13.3955
-117.7381667,35.9088333
128.5033,3.9105
-117.2568333,34.0563333
-150.9619,62.0584
-168.0576,53.195
-67.4126,43.1423
-178.1121,51.2337
-172.5905,50.5578
127.1317,2.8318
-118.3953333,35.5038333
-113.4669,-21.9011
-151.9402,62.5786
-149.015,62.2492
-121.01633333333334,47.23283333333333
-104.1174296,31.61273328
-115.535,32.9256667
-148.2781,61.5914
-155.4865,19.1388333333333
-148.9657,62.6967
-122.7615,38.7948333
-117.2446667,34.0428333
-151.4209,62.5308
-119.4456667,34.1845
-155.247,19.5636666666667
-142.1352,67.0913
-152.7804,59.7994
-155.401168823242,19.2275009155273
-147.4208,62.3086
-146.4939,61.0393
-151.6779,59.8994
-140.6853,61.4898
-153.0014,60.0991
-149.7206,63.3424
-116.2541667,33.8858333
-150.5737,64.8203
-140.7408,60.1885
-140.6723,61.537
-153.1593,59.8845
-66.979,18.173
-115.6116667,33.1865
121.3635,19.8422
-176.0795,51.8725
-167.5582,52.9701
-116.5765,33.8871667
-178.0321,50.926
-155.500666666667,19.1721666666667
-122.791,38.8361667
-155.388333333333,19.2068333333333
-178.53,-17.7273
-151.1778,60.153
-154.0922,57.8173
140.137,28.0207
-150.7853,63.1509
-118.3988333,35.5018333
-140.7084,61.519
-138.1883,60.9503
-140.7155,61.5187
-151.4268,63.1149
-140.6968,61.5132
-152.7513,59.3971
-151.792,61.2546
-122.8123322,38.8115005
-111.3003333,38.9723333
-152.3598,61.0845
-66.852,17.9245
-150.6807,60.0213
-150.7913,59.7044
-104.5432,37.223
-89.557,36.5026666666667
-155.401672363281,19.257833480835
-122.8526667,38.8235
-104.2871322,31.69564986
-152.9064,59.9839
142.4599,50.1156
-116.3943333,33.4021667
-135.1271,56.5595
-148.4911,62.2178
-155.8822,58.442
-152.8409,60.1104
-67.9314,-28.3346
-178.4301,-17.5086
-146.8881,61.2764
94.459,24.5866
-112.1791667,41.4968333
-155.417007446289,19.2038326263428
125.9995,5.9313
-122.4058333,38.3781667
